date,pseudo,contexte,composant,evenement
2024-09-10 22:10:24,447,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 22:10:35,447,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-10 22:11:58,447,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 22:12:31,447,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-10 22:13:09,447,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 22:13:12,447,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-10 22:13:25,447,Autre,Fichier,Module de cours consulté
2024-09-11 07:36:20,817,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 07:47:35,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 08:23:30,344,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 09:03:05,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 09:03:08,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 09:03:33,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 09:26:24,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 09:26:56,829,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-11 10:56:52,302,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 10:56:54,225,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 10:57:12,302,Fichier: Fiche de cours sur les conditionnelles,Fichier,Module de cours consulté
2024-09-11 10:57:29,225,"Test: Test : Ch. 1 – Variable, type et instructions de base",Test,Module de cours consulté
2024-09-11 10:57:36,225,Test: Test : Ch. 2 – Conditionnelle simple,Test,Module de cours consulté
2024-09-11 10:57:38,225,Test: Test : Ch. 3 – Les itérations,Test,Module de cours consulté
2024-09-11 10:57:40,225,Test: Test : Ch. 4 – Sous-algorithmes,Test,Module de cours consulté
2024-09-11 10:57:47,225,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 10:57:55,225,Autre,Fichier,Module de cours consulté
2024-09-11 10:58:21,302,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 11:06:39,899,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 11:07:29,899,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 11:07:37,899,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Profil utilisateur consulté
2024-09-11 11:12:42,899,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 13:38:17,562,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 13:42:28,562,Autre,Fichier,Module de cours consulté
2024-09-11 13:42:38,562,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 13:42:45,562,"Test: Test : Ch. 1 – Variable, type et instructions de base",Test,Module de cours consulté
2024-09-11 13:42:48,562,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 13:43:08,562,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-11 13:48:59,795,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 13:49:35,795,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 13:50:22,795,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Profil utilisateur consulté
2024-09-11 13:54:41,433,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:03:42,592,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:06:36,169,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:07:16,169,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-11 14:07:35,409,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:08:35,409,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 14:08:50,169,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 14:10:05,409,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:19:39,357,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:20:15,357,Autre,Fichier,Module de cours consulté
2024-09-11 14:28:14,121,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:28:35,121,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 14:28:37,121,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 14:29:14,121,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:29:57,121,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Profil utilisateur consulté
2024-09-11 14:30:08,121,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:30:17,121,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 14:33:31,230,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:55:46,121,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 14:56:52,121,Autre,Fichier,Module de cours consulté
2024-09-11 15:01:16,121,Autre,Fichier,Module de cours consulté
2024-09-11 15:01:36,121,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:01:52,121,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-11 15:21:03,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Rapport du participant,Rapport d’évaluation utilisateur consulté
2024-09-11 15:21:30,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 15:22:06,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Profil utilisateur consulté
2024-09-11 15:22:11,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Profil utilisateur consulté
2024-09-11 15:22:17,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Profil utilisateur consulté
2024-09-11 15:22:44,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Profil utilisateur consulté
2024-09-11 15:23:06,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Profil utilisateur consulté
2024-09-11 15:31:28,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:31:29,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 15:31:54,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:32:35,400,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 15:34:26,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:34:54,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:34:59,400,Fichier: Conseils,Fichier,Module de cours consulté
2024-09-11 15:36:00,400,Fichier: Conventions,Fichier,Module de cours consulté
2024-09-11 15:36:33,400,Fichier: Méthodologie ,Fichier,Module de cours consulté
2024-09-11 15:37:13,400,Fichier: Contrat,Fichier,Module de cours consulté
2024-09-11 15:38:08,400,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-11 15:38:25,400,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-11 15:38:57,400,Fichier: Exemples sur les notions de base,Fichier,Module de cours consulté
2024-09-11 15:39:34,400,Fichier: Feuille TD2,Fichier,Module de cours consulté
2024-09-11 15:39:48,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:40:16,400,Fichier: Synthèse de la partie Algorithmique de l'UE PASS,Fichier,Module de cours consulté
2024-09-11 15:40:34,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:40:55,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 15:40:58,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:41:07,400,Test: Quiz – Leçon 6,Test,Module de cours consulté
2024-09-11 15:41:20,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:42:56,438,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:46:15,438,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-11 15:46:30,438,Fichier: Exemples sur les notions de base,Fichier,Module de cours consulté
2024-09-11 15:47:02,438,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 15:50:32,438,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:51:20,438,Fichier: Fiche de cours sur les conditionnelles,Fichier,Module de cours consulté
2024-09-11 15:56:51,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:57:48,93,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 15:59:03,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:59:06,93,Forum: Question Réponses,Forum,Module de cours consulté
2024-09-11 15:59:10,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 15:59:13,93,Fichier: Conseils,Fichier,Module de cours consulté
2024-09-11 16:00:08,93,Fichier: Conventions,Fichier,Module de cours consulté
2024-09-11 16:00:18,93,Fichier: Méthodologie ,Fichier,Module de cours consulté
2024-09-11 16:00:35,93,Fichier: Contrat,Fichier,Module de cours consulté
2024-09-11 16:02:15,93,Autre,Fichier,Module de cours consulté
2024-09-11 16:20:58,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:21:02,93,"Test: Test : Ch. 1 – Variable, type et instructions de base",Test,Module de cours consulté
2024-09-11 16:21:19,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:21:24,93,Test: Test : Ch. 2 – Conditionnelle simple,Test,Module de cours consulté
2024-09-11 16:21:28,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:21:34,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:21:36,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 16:22:35,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:22:44,93,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-11 16:29:57,629,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:30:05,629,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 16:30:41,629,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:31:26,629,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-11 16:31:26,629,Autre,Fichier,Module de cours consulté
2024-09-11 16:34:09,475,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:34:22,475,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-11 16:34:52,475,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-11 16:36:19,475,Fichier: Feuille de TD 1,Fichier,Module de cours consulté
2024-09-11 16:37:15,415,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:37:18,415,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 16:37:28,415,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:37:32,415,Autre,Fichier,Module de cours consulté
2024-09-11 16:38:08,415,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:38:17,415,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-11 16:38:57,415,Fichier: Feuille de TD 2,Fichier,Module de cours consulté
2024-09-11 16:39:04,415,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:39:06,415,Fichier: Fiche de cours sur les sous-algorithmes,Fichier,Module de cours consulté
2024-09-11 16:39:09,415,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:39:46,415,Fichier: Fiche sur les tableaux à plusieurs dimensions,Fichier,Module de cours consulté
2024-09-11 16:47:18,629,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-11 16:47:20,629,Fichier: Exemples sur les notions de base,Fichier,Module de cours consulté
2024-09-11 16:47:30,629,"Test: Test : Ch. 1 – Variable, type et instructions de base",Test,Module de cours consulté
2024-09-11 16:47:38,629,Test: Test : Ch. 2 – Conditionnelle simple,Test,Module de cours consulté
2024-09-11 16:47:45,629,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:47:47,629,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 16:47:55,629,Test: Quiz – Leçon 1 : base,Test,Module de cours consulté
2024-09-11 16:52:18,562,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 17:09:27,570,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 17:10:57,570,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-11 17:44:42,860,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 17:44:44,860,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 17:45:27,860,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 17:47:01,903,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 18:14:58,469,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 18:15:08,469,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 18:21:54,975,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 18:24:20,469,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 18:24:45,469,Autre,Fichier,Module de cours consulté
2024-09-11 18:28:36,65,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Profil utilisateur consulté
2024-09-11 18:28:51,65,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Profil utilisateur consulté
2024-09-11 18:28:56,65,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Rapport du participant,Rapport d’évaluation utilisateur consulté
2024-09-11 18:29:16,469,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-11 18:29:26,469,Autre,Fichier,Module de cours consulté
2024-09-11 18:29:31,469,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 18:29:42,469,Fichier: Contrat,Fichier,Module de cours consulté
2024-09-11 18:29:55,469,Fichier: Méthodologie ,Fichier,Module de cours consulté
2024-09-11 18:30:04,469,Fichier: Conseils,Fichier,Module de cours consulté
2024-09-11 18:30:13,469,"Test: Test : Ch. 1 – Variable, type et instructions de base",Test,Module de cours consulté
2024-09-11 18:30:19,469,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 18:30:33,469,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-11 20:14:05,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 20:14:20,93,Fichier: Fiche de cours sur les conditionnelles,Fichier,Module de cours consulté
2024-09-11 20:14:37,93,Test: Quiz – Leçon 1 : base,Test,Module de cours consulté
2024-09-11 20:14:47,93,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 20:19:54,602,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 20:20:41,602,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 20:20:47,602,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 20:26:21,602,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 20:26:26,602,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 20:29:02,602,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 20:29:06,602,Fichier: Conseils,Fichier,Module de cours consulté
2024-09-11 20:30:12,602,Fichier: Conventions,Fichier,Module de cours consulté
2024-09-11 20:30:43,602,Fichier: Contrat,Fichier,Module de cours consulté
2024-09-11 21:33:55,773,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 21:34:12,773,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 21:34:33,773,Autre,Fichier,Module de cours consulté
2024-09-11 21:34:37,773,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 21:35:06,773,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-11 21:36:50,773,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Rapport du participant,Rapport d’évaluation utilisateur consulté
2024-09-11 21:37:15,773,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 21:57:14,65,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 21:57:31,65,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-11 21:57:48,65,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 21:57:58,65,Fichier: Méthodologie ,Fichier,Module de cours consulté
2024-09-11 21:58:10,65,Autre,Fichier,Module de cours consulté
2024-09-11 22:00:37,65,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-11 22:32:55,357,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 22:33:21,357,Autre,Fichier,Module de cours consulté
2024-09-11 22:33:41,357,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 22:33:48,357,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-11 22:34:01,357,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 22:34:38,357,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-11 22:52:59,392,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 22:53:36,392,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-11 23:08:26,438,Autre,Fichier,Module de cours consulté
2024-09-11 23:15:32,438,Autre,Fichier,Module de cours consulté
2024-09-11 23:16:55,438,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-11 23:17:07,438,Fichier: Conseils,Fichier,Module de cours consulté
2024-09-11 23:17:35,438,Fichier: Méthodologie ,Fichier,Module de cours consulté
2024-09-11 23:17:59,438,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-11 23:18:56,438,"Test: Test : Ch. 1 – Variable, type et instructions de base",Test,Module de cours consulté
2024-09-11 23:19:00,438,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-12 07:03:33,918,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-12 07:36:48,602,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #2,Système,Cours consulté
2024-09-12 07:44:23,169,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-12 07:44:51,169,Autre,Fichier,Module de cours consulté
2024-09-12 07:44:55,169,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-12 07:51:49,592,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-12 07:51:59,592,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-12 07:52:13,592,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-12 07:53:02,592,Fichier: ModeEmploiAlgo,Fichier,Module de cours consulté
2024-09-12 07:55:15,511,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-12 07:55:21,511,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-12 07:55:21,511,Autre,Fichier,Module de cours consulté
2024-09-12 07:57:08,269,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-12 07:57:21,511,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-12 07:57:25,511,"Test: Test : Ch. 1 – Variable, type et instructions de base",Test,Module de cours consulté
2024-09-12 07:57:26,511,Test: Test : Ch. 4 – Sous-algorithmes,Test,Module de cours consulté
2024-09-12 07:57:40,269,Fichier: Leçon 0 – Résumé,Fichier,Module de cours consulté
2024-09-12 08:57:27,19,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-12 08:58:09,210,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-12 08:58:21,210,Forum: Question Réponses,Forum,Module de cours consulté
2024-09-12 08:58:25,210,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-12 08:58:25,19,Fichier: Fiche sur les tableaux à plusieurs dimensions,Fichier,Module de cours consulté
2024-09-12 08:58:48,210,"Test: Test : Ch. 1 – Variable, type et instructions de base",Test,Module de cours consulté
2024-09-12 08:58:52,19,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-12 08:58:55,210,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-12 08:58:59,210,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-12 08:59:04,210,Test: Test : Ch. 6 – Tableau à plusieurs dimensions,Test,Module de cours consulté
2024-09-12 08:59:07,210,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-12 09:12:41,511,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-12 09:35:05,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-12 09:35:12,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Liste d’utilisateurs consultée
2024-09-12 09:35:13,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Visites guidées,Visite guidée commencée
2024-09-12 09:35:14,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Visites guidées,Visite guidée terminée
2024-09-12 09:35:56,829,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-12 09:39:41,829,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-12 09:42:23,602,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-12 09:42:38,602,Fichier: Méthodologie ,Fichier,Module de cours consulté
2024-09-12 10:58:34,511,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
2024-09-12 10:59:10,511,Fichier: Fiche de cours sur les notions de base pour écrire un algorithme,Fichier,Module de cours consulté
2024-09-12 11:17:40,400,Cours: PASS - S1 - UE Disciplinaire Informatique : partie #1,Système,Cours consulté
